Feature,Importance
CenLat,0.18532057095967405
CenLon,0.10771777225526454
9_t2m,0.08826822930171146
Slope,0.06994930806797639
Zmed,0.06880921864243837
Zmax,0.04555418187504882
Zmin,0.02999536230431897
Lmax,0.02426708865146304
7_tp,0.020883614086066996
2_tp,0.019717079180284168
6_t2m,0.019295635410782514
1_tp,0.019214862540976325
Aspect,0.018671184194602376
12_t2m,0.01809463762071369
Area,0.017918231194056045
12_tp,0.01680642457067494
6_tp,0.01672733083072218
4_tp,0.016722984197014793
8_tp,0.016591148245584685
10_tp,0.016374443546125796
