Feature,Importance
CenLat,0.2971927710843333
CenLon,0.10031996905899712
Zmax,0.08182497472456014
Slope,0.06668297274052815
Zmed,0.06001482581540018
9_t2m,0.02981765845081519
Zmin,0.027035097983305893
Lmax,0.024431693108193705
Aspect,0.020801382621876266
Area,0.01732232263448931
2_tp,0.016275144765467903
12_t2m,0.015108207495620014
1_tp,0.014691915167725502
4_tp,0.014476685106713042
8_t2m,0.014445737678860893
12_tp,0.01419245325571095
7_tp,0.013341708531583375
5_t2m,0.01280489235814849
9_tp,0.01274380866922477
7_t2m,0.012647266447290178
